elevation,aspect,slope,hdist2water,vdist2water,hdist2road,shade_9am,shade_noon,shade_3pm,hdist2fire,w1,w2,w3,s1,s2,cov_type
3160,347,13,127,15,4621,196,219,162,3139,1,0,0,0,0,1
3100,352,9,170,14,5367,205,225,158,1167,1,0,0,1,0,1
2675,31,11,212,20,3360,217,216,133,3072,0,0,1,0,1,1
3088,43,8,0,0,1611,222,222,136,674,0,0,1,1,0,1
3061,113,22,150,19,696,251,212,78,742,1,0,0,1,0,1
3253,356,9,330,84,3586,205,224,156,2707,0,0,1,1,0,1
2668,208,18,0,0,1684,204,254,180,1200,0,0,1,0,1,1
2897,26,23,499,-35,779,202,183,108,335,0,0,1,1,0,1
3275,103,16,150,16,2352,245,219,99,1849,0,0,1,1,0,1
3290,311,29,589,201,532,131,207,209,1100,0,1,0,1,0,1
3106,16,4,0,0,895,216,231,152,1664,1,0,0,0,0,1
3238,0,5,30,3,5742,212,230,156,924,1,0,0,1,0,1
3070,61,9,85,11,721,227,222,128,1708,0,0,1,1,0,1
2929,337,6,30,-2,3692,207,231,164,6360,1,0,0,0,0,1
3244,4,12,150,23,3690,204,218,150,3598,1,0,0,0,0,1
3041,86,15,90,20,3953,240,215,101,3987,1,0,0,1,0,1
3146,99,17,391,105,1276,246,214,90,1167,0,0,1,1,0,1
2960,98,16,108,32,454,245,215,94,700,1,0,0,1,0,1
3037,72,12,201,0,3540,234,216,112,2754,1,0,0,1,0,1
2864,287,14,309,74,977,180,239,198,1844,0,0,1,0,1,1
3099,7,8,108,8,3690,211,225,151,1482,1,0,0,1,0,1
3143,342,23,636,336,1239,166,199,168,1114,0,0,1,1,0,1
3136,135,1,95,5,636,220,238,154,2431,0,1,0,1,0,1
3126,66,20,0,0,5248,235,197,85,1154,1,0,0,1,0,1
3357,331,2,569,100,1074,213,236,160,2560,0,0,1,1,0,1
3167,58,10,484,86,1443,228,218,123,3502,0,0,1,1,0,1
3165,76,6,458,23,3084,228,229,136,4707,1,0,0,0,0,1
3296,101,19,268,58,3776,248,212,85,2821,1,0,0,1,0,1
3314,261,10,722,67,841,197,245,187,1124,0,1,0,0,0,1
2959,98,14,42,10,6047,242,220,105,3738,1,0,0,1,0,1
3133,49,14,192,74,1291,225,209,115,446,1,0,0,0,0,1
2865,156,6,30,-3,4279,227,241,148,3691,1,0,0,0,0,1
3009,84,7,0,0,384,231,227,129,1019,1,0,0,0,0,1
3158,94,7,60,-6,2167,231,230,132,726,1,0,0,0,0,1
3071,330,16,270,-3,2305,179,218,177,1148,0,0,1,0,0,1
3220,175,11,228,27,4097,226,246,151,2084,0,0,1,1,0,1
2917,101,5,60,-7,1742,228,233,139,1784,1,0,0,1,0,1
3086,351,3,342,43,446,214,234,158,684,0,1,0,0,0,1
3053,144,8,150,-3,1550,232,239,139,752,1,0,0,0,0,1
2989,83,20,127,7,1543,243,201,78,1430,0,0,1,1,0,1
3247,37,12,67,20,2940,219,212,126,2268,1,0,0,1,0,1
3213,54,24,201,51,4117,226,182,76,3320,1,0,0,0,0,1
3116,292,12,120,16,3270,186,238,191,5050,1,0,0,1,0,1
3121,158,20,150,36,4820,237,239,123,1370,1,0,0,1,0,1
3221,311,5,301,-2,6058,205,236,170,1172,1,0,0,0,0,1
3178,132,7,618,6,4414,231,237,138,1889,1,0,0,0,0,1
3185,167,3,162,4,4381,222,240,154,1022,0,0,1,0,0,1
2942,78,10,342,26,4009,234,221,118,5898,1,0,0,0,0,1
3254,29,12,450,33,3734,216,214,133,3151,1,0,0,1,0,1
3125,108,10,391,44,1505,237,229,122,2836,0,0,1,1,0,1
3105,38,19,150,5,1744,217,195,107,765,0,0,1,1,0,1
2985,335,30,42,29,4308,140,185,176,2203,1,0,0,1,0,1
3168,108,2,30,-2,4279,223,236,149,3301,0,0,1,0,0,1
3168,63,11,0,0,4429,230,218,120,3140,1,0,0,0,0,1
3208,210,16,30,-2,2170,206,253,179,3909,0,1,0,0,0,1
3310,223,20,170,2,1888,190,254,195,3844,0,1,0,1,0,1
2947,149,26,85,36,2706,243,228,97,1624,0,0,1,1,0,1
2838,216,9,42,5,499,211,249,173,350,0,0,1,0,0,1
3123,25,13,655,10,2022,213,210,132,3247,0,0,1,1,0,1
3153,179,10,30,0,1426,225,246,154,677,0,0,1,1,0,1
3195,88,8,612,99,1538,233,227,126,2512,0,0,1,1,0,1
3365,274,9,781,108,969,195,243,187,2251,0,0,1,1,0,1
3273,0,9,190,37,2135,206,222,154,2560,1,0,0,1,0,1
3123,49,17,366,56,3553,225,200,103,3091,1,0,0,1,0,1
3119,27,8,210,26,2903,217,223,142,3412,1,0,0,1,0,1
3270,272,8,365,86,339,199,243,182,1490,0,1,0,0,0,1
3128,324,16,384,65,324,177,221,182,1718,0,1,0,0,0,1
3365,209,15,560,207,2429,207,253,177,902,0,0,1,1,0,1
3202,108,3,108,0,2317,225,236,146,1549,0,0,1,0,0,1
3191,34,15,180,16,3242,216,206,121,4934,1,0,0,1,0,1
3337,186,11,85,12,4446,222,248,158,3290,0,0,1,1,0,1
2932,122,18,30,7,1243,247,223,98,3166,1,0,0,0,0,1
3078,310,4,170,21,108,209,237,167,1866,0,1,0,0,0,1
3044,127,10,95,9,2059,237,234,127,1448,1,0,0,0,0,1
3085,29,11,242,12,1516,216,216,134,1920,0,0,1,1,0,1
2982,263,13,127,17,2028,187,246,197,1254,0,0,1,0,0,1
3253,66,6,180,0,4204,227,227,135,2052,1,0,0,1,0,1
2984,83,14,0,0,2059,239,215,104,3316,0,0,1,1,0,1
3417,198,11,601,24,3337,216,250,166,108,0,0,1,1,0,1
3366,262,13,433,115,2021,187,246,198,3046,1,0,0,1,0,1
2766,355,6,120,11,1061,211,230,157,966,0,0,1,1,0,1
3197,140,19,190,14,2300,245,230,106,484,0,0,1,1,0,1
3006,252,6,60,1,5452,207,244,176,2184,1,0,0,0,0,1
3095,101,5,85,3,4052,228,233,139,1307,1,0,0,0,0,1
